Geography,Geographic Area Name,Population, MedianIncome ,Pct100kPlus,TotalSalaryPopulation,100k+,125Kk+,150k+,200k+, MedianHomeValue ,PctRenter,TotalRentersPopulation,OwnerOccupied,RenterOccupied,PctBAPlus
860Z200US06390,ZCTA5 06390,53," $ 51,964.00 ",17.6%,17,0,0,0,3,,82.4%,17,3,1400.00%,39.5%
860Z200US10001,ZCTA5 10001,"29,079"," $ 123,393.00 ",57.2%,"15,097","1,135",592,"1,702","5,214"," $ 793,000.00 ",76.4%,15097,3570,1152700.00%,65.9%
860Z200US10002,ZCTA5 10002,"75,517"," $ 46,525.00 ",29.3%,"35,771","2,638","1,610","2,020","4,228"," $ 808,500.00 ",81.4%,35771,6660,2911100.00%,37.0%
860Z200US10003,ZCTA5 10003,"53,825"," $ 153,750.00 ",62.9%,"25,080","1,532","1,506","2,925","9,805"," $ 1,137,000.00 ",65.3%,25080,8701,1637900.00%,71.9%
860Z200US10004,ZCTA5 10004,"3,875"," $ 220,592.00 ",82.3%,"1,775",98,153,237,972," $ 1,866,400.00 ",64.5%,1775,630,114500.00%,75.8%
860Z200US10005,ZCTA5 10005,"9,238"," $ 211,810.00 ",78.2%,"5,156",201,452,716,"2,665"," $ 1,387,200.00 ",82.9%,5156,880,427600.00%,71.2%
860Z200US10006,ZCTA5 10006,"4,475"," $ 209,972.00 ",71.7%,"2,305",83,154,205,"1,211"," $ 1,125,700.00 ",82.6%,2305,402,190300.00%,69.1%
860Z200US10007,ZCTA5 10007,"7,802",,85.5%,"3,309",64,81,473,"2,212",,65.0%,3309,1159,215000.00%,77.3%
860Z200US10009,ZCTA5 10009,"58,341"," $ 87,963.00 ",45.8%,"30,025","2,266","2,099","3,320","6,063"," $ 690,600.00 ",91.1%,30025,2687,2733800.00%,60.4%
860Z200US10010,ZCTA5 10010,"31,905"," $ 156,127.00 ",68.0%,"16,192","1,674",725,"1,797","6,816"," $ 1,037,900.00 ",72.5%,16192,4453,1173900.00%,68.9%
860Z200US10011,ZCTA5 10011,"49,344"," $ 146,571.00 ",64.5%,"28,277","2,172","2,181","3,325","10,570"," $ 1,165,800.00 ",64.0%,28277,10180,1809700.00%,70.2%
860Z200US10012,ZCTA5 10012,"21,846"," $ 130,938.00 ",61.7%,"11,909","1,302",940,"1,121","3,984"," $ 1,500,000.00 ",78.5%,11909,2562,934700.00%,75.9%
860Z200US10013,ZCTA5 10013,"28,215"," $ 159,474.00 ",64.2%,"12,609",976,587,"1,287","5,246",,70.5%,12609,3723,888600.00%,62.9%
860Z200US10014,ZCTA5 10014,"29,772"," $ 167,254.00 ",66.6%,"17,682","1,322",962,"1,730","7,757"," $ 1,294,200.00 ",71.4%,17682,5052,1263000.00%,77.8%
860Z200US10016,ZCTA5 10016,"54,297"," $ 153,065.00 ",65.9%,"30,164","2,655","1,935","2,941","12,347"," $ 928,400.00 ",72.3%,30164,8345,2181900.00%,70.3%
860Z200US10017,ZCTA5 10017,"14,985"," $ 132,518.00 ",57.8%,"9,529",629,546,"1,242","3,095"," $ 808,200.00 ",69.4%,9529,2914,661500.00%,76.0%
860Z200US10018,ZCTA5 10018,"8,764"," $ 133,042.00 ",60.2%,"4,901",444,303,366,"1,835"," $ 947,100.00 ",88.2%,4901,580,432100.00%,69.1%
860Z200US10019,ZCTA5 10019,"44,276"," $ 121,835.00 ",56.4%,"26,900","1,929","1,216","3,188","8,840"," $ 1,066,100.00 ",78.4%,26900,5813,2108700.00%,69.2%
860Z200US10020,ZCTA5 10020,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10021,ZCTA5 10021,"39,479"," $ 156,712.00 ",64.5%,"20,319","1,522","1,079","2,101","8,399"," $ 1,529,600.00 ",54.9%,20319,9165,1115400.00%,65.9%
860Z200US10022,ZCTA5 10022,"34,340"," $ 171,038.00 ",67.4%,"18,627","1,142",996,"2,239","8,180"," $ 1,116,700.00 ",51.6%,18627,9017,961000.00%,71.9%
860Z200US10023,ZCTA5 10023,"67,468"," $ 157,866.00 ",62.3%,"36,881","2,177","2,011","3,824","14,971"," $ 1,401,800.00 ",60.5%,36881,14576,2230500.00%,69.8%
860Z200US10024,ZCTA5 10024,"62,576"," $ 182,614.00 ",71.1%,"29,447","2,375","1,950","3,185","13,430"," $ 1,746,400.00 ",61.3%,29447,11398,1804900.00%,70.2%
860Z200US10025,ZCTA5 10025,"93,223"," $ 109,195.00 ",54.0%,"41,029","3,820","2,520","3,271","12,528"," $ 1,125,200.00 ",69.3%,41029,12584,2844500.00%,59.7%
860Z200US10026,ZCTA5 10026,"37,113"," $ 74,140.00 ",39.6%,"15,537","1,339",667,"1,409","2,735"," $ 1,014,100.00 ",77.0%,15537,3574,1196300.00%,49.7%
860Z200US10027,ZCTA5 10027,"65,068"," $ 64,220.00 ",35.7%,"24,509","1,545","1,191","2,033","3,987"," $ 915,000.00 ",84.3%,24509,3846,2066300.00%,48.4%
860Z200US10028,ZCTA5 10028,"45,679"," $ 168,125.00 ",67.8%,"24,901","1,779","1,764","2,289","11,053"," $ 1,600,400.00 ",62.1%,24901,9447,1545400.00%,68.4%
860Z200US10029,ZCTA5 10029,"74,848"," $ 38,308.00 ",21.0%,"33,098","1,480",827,"1,605","3,036"," $ 818,100.00 ",93.0%,33098,2304,3079400.00%,32.9%
860Z200US10030,ZCTA5 10030,"30,781"," $ 42,738.00 ",21.1%,"13,180",534,482,594,"1,176"," $ 810,100.00 ",86.7%,13180,1754,1142600.00%,32.7%
860Z200US10031,ZCTA5 10031,"60,305"," $ 65,067.00 ",33.6%,"21,991","1,581","1,312","2,065","2,430"," $ 678,000.00 ",86.3%,21991,3008,1898300.00%,38.7%
860Z200US10032,ZCTA5 10032,"55,579"," $ 56,588.00 ",27.2%,"21,359","1,624","1,304","1,427","1,451"," $ 545,500.00 ",91.7%,21359,1780,1957900.00%,36.6%
860Z200US10033,ZCTA5 10033,"53,611"," $ 75,585.00 ",40.5%,"19,747","2,272","1,438","1,486","2,794"," $ 709,100.00 ",84.6%,19747,3035,1671200.00%,38.6%
860Z200US10034,ZCTA5 10034,"39,037"," $ 69,786.00 ",35.6%,"15,462","1,498",990,"1,537","1,479"," $ 518,000.00 ",90.0%,15462,1547,1391500.00%,36.8%
860Z200US10035,ZCTA5 10035,"39,082"," $ 40,556.00 ",24.1%,"15,056","1,019",740,968,904," $ 663,500.00 ",90.1%,15056,1484,1357200.00%,28.1%
860Z200US10036,ZCTA5 10036,"30,589"," $ 100,225.00 ",50.0%,"18,886","1,775","1,430","2,016","4,231"," $ 988,000.00 ",91.1%,18886,1673,1721300.00%,63.9%
860Z200US10037,ZCTA5 10037,"18,333"," $ 51,250.00 ",26.6%,"10,205",562,502,805,850,,91.1%,10205,912,929300.00%,41.1%
860Z200US10038,ZCTA5 10038,"23,342"," $ 115,121.00 ",54.3%,"10,694",742,894,"1,000","3,174"," $ 865,700.00 ",71.6%,10694,3040,765400.00%,57.4%
860Z200US10039,ZCTA5 10039,"30,512"," $ 48,792.00 ",25.5%,"12,427","1,169",602,878,518," $ 478,200.00 ",85.2%,12427,1841,1058600.00%,25.9%
860Z200US10040,ZCTA5 10040,"41,581"," $ 64,022.00 ",33.0%,"16,260","1,672","1,138","1,001","1,562"," $ 465,700.00 ",84.6%,16260,2511,1374900.00%,36.1%
860Z200US10044,ZCTA5 10044,"11,998"," $ 106,146.00 ",52.3%,"5,146",258,527,450,"1,454"," $ 1,041,300.00 ",79.2%,5146,1072,407400.00%,63.7%
860Z200US10065,ZCTA5 10065,"31,047"," $ 160,938.00 ",69.7%,"16,706","1,296","1,399","2,074","6,879"," $ 1,368,200.00 ",66.8%,16706,5542,1116400.00%,69.7%
860Z200US10069,ZCTA5 10069,"6,669"," $ 226,151.00 ",66.4%,"3,202",141,52,87,"1,845",,70.8%,3202,935,226700.00%,80.0%
860Z200US10075,ZCTA5 10075,"23,865"," $ 146,556.00 ",63.1%,"12,536","1,118",617,"1,081","5,096"," $ 1,097,800.00 ",54.3%,12536,5732,680400.00%,73.9%
860Z200US10103,ZCTA5 10103,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10110,ZCTA5 10110,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10111,ZCTA5 10111,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10112,ZCTA5 10112,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10115,ZCTA5 10115,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10119,ZCTA5 10119,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10128,ZCTA5 10128,"59,000"," $ 148,705.00 ",64.4%,"30,154","2,687","1,777","3,465","11,497"," $ 1,295,600.00 ",67.7%,30154,9725,2042900.00%,65.4%
860Z200US10152,ZCTA5 10152,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10153,ZCTA5 10153,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10154,ZCTA5 10154,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10162,ZCTA5 10162,"1,769"," $ 110,349.00 ",52.9%,883,84,82,53,248,,100.0%,883,0,88300.00%,59.7%
860Z200US10165,ZCTA5 10165,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10167,ZCTA5 10167,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10168,ZCTA5 10168,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10169,ZCTA5 10169,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10170,ZCTA5 10170,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10171,ZCTA5 10171,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10172,ZCTA5 10172,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10173,ZCTA5 10173,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10174,ZCTA5 10174,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10177,ZCTA5 10177,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10199,ZCTA5 10199,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10271,ZCTA5 10271,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10278,ZCTA5 10278,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10279,ZCTA5 10279,181,,100.0%,62,0,0,0,62,,100.0%,62,0,6200.00%,61.2%
860Z200US10280,ZCTA5 10280,"8,668"," $ 206,250.00 ",84.9%,"4,222",388,136,896,"2,165"," $ 893,800.00 ",67.6%,4222,1368,285400.00%,75.8%
860Z200US10282,ZCTA5 10282,"5,960",,90.4%,"2,584",53,140,438,"1,705",,89.2%,2584,280,230400.00%,69.5%
860Z200US10301,ZCTA5 10301,"39,799"," $ 84,937.00 ",42.3%,"14,430","1,470","1,010","1,436","2,192"," $ 657,000.00 ",55.4%,14430,6435,799500.00%,34.6%
860Z200US10302,ZCTA5 10302,"19,693"," $ 76,089.00 ",39.9%,"6,159",488,642,649,679," $ 586,300.00 ",43.3%,6159,3493,266600.00%,28.2%
860Z200US10303,ZCTA5 10303,"25,993"," $ 79,429.00 ",40.0%,"8,742",720,675,"1,137",962," $ 457,600.00 ",37.7%,8742,5448,329400.00%,29.3%
860Z200US10304,ZCTA5 10304,"45,843"," $ 71,506.00 ",39.3%,"15,900","1,684","1,297","1,178","2,093"," $ 659,900.00 ",50.6%,15900,7856,804400.00%,28.7%
860Z200US10305,ZCTA5 10305,"41,714"," $ 86,294.00 ",41.9%,"15,637","1,602","1,457","1,393","2,099"," $ 627,200.00 ",35.0%,15637,10158,547900.00%,29.6%
860Z200US10306,ZCTA5 10306,"57,249"," $ 97,746.00 ",49.5%,"19,846","2,085","1,995","2,224","3,518"," $ 675,400.00 ",28.7%,19846,14143,570300.00%,31.8%
860Z200US10307,ZCTA5 10307,"14,821"," $ 138,807.00 ",64.7%,"5,135",399,826,771,"1,327"," $ 799,100.00 ",16.6%,5135,4285,85000.00%,36.5%
860Z200US10308,ZCTA5 10308,"29,996"," $ 122,654.00 ",57.9%,"10,323",930,851,"1,904","2,292"," $ 648,800.00 ",20.3%,10323,8231,209200.00%,38.2%
860Z200US10309,ZCTA5 10309,"34,918"," $ 123,638.00 ",58.9%,"12,108","1,165",763,"1,892","3,308"," $ 745,500.00 ",21.3%,12108,9535,257300.00%,38.0%
860Z200US10310,ZCTA5 10310,"25,824"," $ 106,118.00 ",51.6%,"8,982",834,"1,216","1,133","1,455"," $ 623,300.00 ",43.5%,8982,5078,390400.00%,28.3%
860Z200US10311,ZCTA5 10311,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10312,ZCTA5 10312,"63,345"," $ 111,434.00 ",56.3%,"21,366","2,428","1,973","3,135","4,488"," $ 698,900.00 ",18.4%,21366,17426,394000.00%,38.3%
860Z200US10314,ZCTA5 10314,"93,539"," $ 104,655.00 ",51.8%,"31,419","3,193","2,386","4,206","6,489"," $ 665,500.00 ",25.4%,31419,23446,797300.00%,35.4%
860Z200US10451,ZCTA5 10451,"48,975"," $ 37,111.00 ",15.9%,"21,414",668,939,967,828," $ 263,500.00 ",86.4%,21414,2919,1849500.00%,20.2%
860Z200US10452,ZCTA5 10452,"76,745"," $ 37,854.00 ",13.3%,"28,397","1,619",660,991,501," $ 263,000.00 ",96.7%,28397,951,2744600.00%,13.9%
860Z200US10453,ZCTA5 10453,"78,270"," $ 35,482.00 ",15.1%,"28,462","1,875",791,953,689," $ 580,100.00 ",95.1%,28462,1404,2705800.00%,14.3%
860Z200US10454,ZCTA5 10454,"40,368"," $ 27,500.00 ",17.1%,"14,910",883,629,533,508," $ 780,800.00 ",93.6%,14910,948,1396200.00%,13.2%
860Z200US10455,ZCTA5 10455,"42,940"," $ 36,701.00 ",16.0%,"16,366","1,009",418,828,358," $ 348,700.00 ",89.7%,16366,1692,1467400.00%,15.5%
860Z200US10456,ZCTA5 10456,"86,958"," $ 35,676.00 ",10.6%,"32,601","1,185",916,929,414," $ 428,800.00 ",93.4%,32601,2144,3045700.00%,13.6%
860Z200US10457,ZCTA5 10457,"79,375"," $ 44,911.00 ",16.5%,"26,715","1,653","1,172",940,643," $ 336,900.00 ",93.8%,26715,1667,2504800.00%,13.6%
860Z200US10458,ZCTA5 10458,"78,741"," $ 42,107.00 ",14.5%,"28,856","1,823",862,"1,007",504," $ 515,700.00 ",96.1%,28856,1134,2772200.00%,15.1%
860Z200US10459,ZCTA5 10459,"49,753"," $ 39,276.00 ",14.6%,"17,919",740,620,711,541," $ 589,500.00 ",88.2%,17919,2119,1580000.00%,13.2%
860Z200US10460,ZCTA5 10460,"61,101"," $ 36,067.00 ",16.6%,"22,734","1,323",933,890,626," $ 589,300.00 ",89.3%,22734,2431,2030300.00%,14.9%
860Z200US10461,ZCTA5 10461,"50,900"," $ 65,023.00 ",33.5%,"19,078","1,618","1,364","1,701","1,716"," $ 640,400.00 ",68.6%,19078,5990,1308800.00%,26.0%
860Z200US10462,ZCTA5 10462,"75,452"," $ 63,460.00 ",29.5%,"29,538","3,175","2,226","1,814","1,502"," $ 372,100.00 ",77.1%,29538,6755,2278300.00%,26.6%
860Z200US10463,ZCTA5 10463,"69,373"," $ 72,952.00 ",35.6%,"29,575","2,422","1,912","2,668","3,533"," $ 352,200.00 ",65.0%,29575,10342,1923300.00%,39.0%
860Z200US10464,ZCTA5 10464,"4,273"," $ 100,306.00 ",50.3%,"2,081",189,151,316,390," $ 667,600.00 ",31.1%,2081,1434,64700.00%,42.8%
860Z200US10465,ZCTA5 10465,"46,457"," $ 90,255.00 ",45.0%,"16,221","1,512","1,086","2,199","2,510"," $ 602,000.00 ",43.8%,16221,9109,711200.00%,28.5%
860Z200US10466,ZCTA5 10466,"74,061"," $ 66,328.00 ",33.4%,"25,262","2,378","1,405","2,375","2,274"," $ 605,300.00 ",59.4%,25262,10255,1500700.00%,24.9%
860Z200US10467,ZCTA5 10467,"96,304"," $ 47,806.00 ",19.5%,"38,210","2,398","1,712","1,929","1,406"," $ 425,500.00 ",86.4%,38210,5195,3301500.00%,20.7%
860Z200US10468,ZCTA5 10468,"79,825"," $ 46,624.00 ",17.9%,"28,608","1,995","1,077","1,347",694," $ 259,400.00 ",91.5%,28608,2442,2616600.00%,14.5%
860Z200US10469,ZCTA5 10469,"69,855"," $ 76,018.00 ",38.7%,"23,582","2,294","2,047","2,285","2,497"," $ 640,400.00 ",49.4%,23582,11942,1164000.00%,27.1%
860Z200US10470,ZCTA5 10470,"15,558"," $ 81,134.00 ",40.8%,"6,625",644,502,568,988," $ 500,400.00 ",57.0%,6625,2851,377400.00%,39.3%
860Z200US10471,ZCTA5 10471,"23,400"," $ 108,738.00 ",55.1%,"9,205","1,316",720,"1,159","1,874"," $ 406,500.00 ",42.5%,9205,5292,391300.00%,53.5%
860Z200US10472,ZCTA5 10472,"63,820"," $ 43,125.00 ",17.9%,"21,950","1,140","1,023",815,960," $ 632,500.00 ",84.3%,21950,3445,1850500.00%,13.2%
860Z200US10473,ZCTA5 10473,"59,778"," $ 50,609.00 ",24.0%,"22,734","1,598","1,280","1,397","1,189"," $ 586,800.00 ",71.7%,22734,6442,1629200.00%,23.0%
860Z200US10474,ZCTA5 10474,"11,188"," $ 41,279.00 ",17.5%,"3,917",111,179,272,122,,91.6%,3917,330,358700.00%,15.0%
860Z200US10475,ZCTA5 10475,"42,771"," $ 62,383.00 ",24.8%,"18,692","2,198",661,"1,324",460," $ 31,900.00 ",55.1%,18692,8388,1030400.00%,27.0%
860Z200US10501,ZCTA5 10501,"1,426"," $ 231,607.00 ",85.9%,469,25,66,43,269," $ 801,900.00 ",3.4%,469,453,1600.00%,72.3%
860Z200US10502,ZCTA5 10502,"5,875",,82.5%,"1,879",72,56,262,"1,161"," $ 819,100.00 ",15.6%,1879,1585,29400.00%,63.9%
860Z200US10503,ZCTA5 10503,127,,71.4%,63,0,0,0,45," $ 677,600.00 ",0.0%,63,63,0.00%,78.7%
860Z200US10504,ZCTA5 10504,"7,853"," $ 247,433.00 ",82.8%,"2,540",158,131,197,"1,617"," $ 1,150,700.00 ",5.1%,2540,2410,13000.00%,69.4%
860Z200US10505,ZCTA5 10505,"1,295"," $ 145,250.00 ",56.6%,495,0,52,65,163," $ 859,500.00 ",30.7%,495,343,15200.00%,63.0%
860Z200US10506,ZCTA5 10506,"6,246",,82.0%,"2,225",74,79,452,"1,219"," $ 1,097,800.00 ",3.3%,2225,2152,7300.00%,74.6%
860Z200US10507,ZCTA5 10507,"6,044"," $ 106,213.00 ",54.1%,"1,805",234,70,188,484," $ 628,500.00 ",35.2%,1805,1169,63600.00%,38.6%
860Z200US10509,ZCTA5 10509,"20,055"," $ 120,987.00 ",58.9%,"7,326",709,707,983,"1,917"," $ 430,200.00 ",21.8%,7326,5727,159900.00%,41.4%
860Z200US10510,ZCTA5 10510,"10,027"," $ 215,568.00 ",79.8%,"3,734",300,299,394,"1,987"," $ 842,900.00 ",17.5%,3734,3080,65400.00%,61.4%
860Z200US10511,ZCTA5 10511,"2,296"," $ 127,375.00 ",55.8%,817,38,120,113,185," $ 492,000.00 ",12.5%,817,715,10200.00%,44.0%
860Z200US10512,ZCTA5 10512,"24,238"," $ 124,519.00 ",59.8%,"9,170",909,982,"1,676","1,917"," $ 401,800.00 ",16.9%,9170,7616,155400.00%,40.3%
860Z200US10514,ZCTA5 10514,"12,227",,84.8%,"4,076",291,75,445,"2,647"," $ 1,069,100.00 ",11.8%,4076,3593,48300.00%,66.6%
860Z200US10516,ZCTA5 10516,"5,607"," $ 135,922.00 ",59.6%,"2,289",136,204,305,720," $ 625,400.00 ",27.2%,2289,1666,62300.00%,57.3%
860Z200US10517,ZCTA5 10517,551," $ 110,417.00 ",57.0%,165,45,4,18,27," $ 597,500.00 ",32.7%,165,111,5400.00%,28.9%
860Z200US10518,ZCTA5 10518,789," $ 167,368.00 ",67.4%,374,9,7,64,172," $ 795,500.00 ",4.0%,374,359,1500.00%,75.7%
860Z200US10519,ZCTA5 10519,188,,43.9%,107,0,0,47,0,,100.0%,107,0,10700.00%,43.9%
860Z200US10520,ZCTA5 10520,"12,208"," $ 140,018.00 ",59.8%,"4,989",304,340,547,"1,790"," $ 669,900.00 ",30.6%,4989,3461,152800.00%,56.6%
860Z200US10522,ZCTA5 10522,"11,464"," $ 167,927.00 ",69.2%,"3,853",307,193,779,"1,387"," $ 719,300.00 ",37.7%,3853,2401,145200.00%,59.8%
860Z200US10523,ZCTA5 10523,"9,773"," $ 115,809.00 ",63.6%,"3,320",529,377,377,829," $ 526,000.00 ",45.5%,3320,1808,151200.00%,46.5%
860Z200US10524,ZCTA5 10524,"4,298"," $ 125,568.00 ",62.9%,"1,613",206,109,263,437," $ 549,600.00 ",17.4%,1613,1332,28100.00%,48.8%
860Z200US10526,ZCTA5 10526,"2,040",,84.5%,722,45,30,73,462," $ 795,200.00 ",7.8%,722,666,5600.00%,71.2%
860Z200US10527,ZCTA5 10527,587," $ 219,698.00 ",67.5%,191,0,0,8,121," $ 778,300.00 ",9.4%,191,173,1800.00%,78.8%
860Z200US10528,ZCTA5 10528,"13,822"," $ 151,193.00 ",67.5%,"4,959",294,447,850,"1,756"," $ 934,100.00 ",46.2%,4959,2667,229200.00%,52.3%
860Z200US10530,ZCTA5 10530,"13,955"," $ 118,114.00 ",57.8%,"6,493",666,590,837,"1,659"," $ 445,600.00 ",14.4%,6493,5555,93800.00%,59.6%
860Z200US10532,ZCTA5 10532,"5,253"," $ 134,662.00 ",59.4%,"1,822",86,195,207,594," $ 675,300.00 ",12.8%,1822,1588,23400.00%,48.9%
860Z200US10533,ZCTA5 10533,"7,337"," $ 171,250.00 ",74.3%,"2,587",74,102,568,"1,179"," $ 907,600.00 ",17.0%,2587,2146,44100.00%,68.9%
860Z200US10535,ZCTA5 10535,323,,37.2%,196,20,0,15,38," $ 333,300.00 ",74.5%,196,50,14600.00%,47.6%
860Z200US10536,ZCTA5 10536,"11,010"," $ 239,063.00 ",80.4%,"3,434",265,68,402,"2,026"," $ 854,000.00 ",11.6%,3434,3037,39700.00%,67.6%
860Z200US10537,ZCTA5 10537,"2,418"," $ 126,354.00 ",72.5%,811,150,185,109,144," $ 367,500.00 ",17.4%,811,670,14100.00%,47.2%
860Z200US10538,ZCTA5 10538,"17,709"," $ 186,555.00 ",69.8%,"6,715",339,488,590,"3,267"," $ 1,185,300.00 ",21.7%,6715,5260,145500.00%,65.4%
860Z200US10540,ZCTA5 10540,114,,,0,0,0,0,0,,,0,0,0.00%,0.0%
860Z200US10541,ZCTA5 10541,"26,137"," $ 133,929.00 ",64.4%,"8,950",982,"1,101","1,501","2,184"," $ 472,600.00 ",12.8%,8950,7806,114400.00%,41.6%
860Z200US10542,ZCTA5 10542,0,,,0,0,0,0,0,,,0,0,0.00%,
860Z200US10543,ZCTA5 10543,"21,022"," $ 128,418.00 ",58.0%,"7,566",509,559,783,"2,538"," $ 710,000.00 ",39.8%,7566,4558,300800.00%,49.7%
860Z200US10545,ZCTA5 10545,182,,,0,0,0,0,0,,,0,0,0.00%,60.1%
860Z200US10546,ZCTA5 10546,"1,229"," $ 213,250.00 ",75.7%,456,13,13,39,280," $ 831,500.00 ",10.7%,456,407,4900.00%,76.0%
860Z200US10547,ZCTA5 10547,"7,361"," $ 155,295.00 ",64.5%,"2,787",291,88,535,885," $ 479,200.00 ",33.6%,2787,1850,93700.00%,50.5%
860Z200US10548,ZCTA5 10548,"4,302"," $ 140,000.00 ",63.8%,"1,228",103,184,193,304," $ 445,900.00 ",20.3%,1228,979,24900.00%,40.8%
860Z200US10549,ZCTA5 10549,"15,858"," $ 122,327.00 ",55.6%,"5,807",404,395,483,"1,948"," $ 652,800.00 ",25.6%,5807,4320,148700.00%,52.9%
860Z200US10550,ZCTA5 10550,"40,072"," $ 56,903.00 ",30.2%,"15,837","1,377","1,000","1,360","1,052"," $ 482,600.00 ",72.3%,15837,4394,1144300.00%,22.6%
860Z200US10552,ZCTA5 10552,"21,499"," $ 97,105.00 ",48.0%,"9,442",732,943,997,"1,857"," $ 331,400.00 ",35.5%,9442,6093,334900.00%,46.7%
860Z200US10553,ZCTA5 10553,"10,815"," $ 84,173.00 ",42.1%,"3,693",289,239,465,560," $ 490,000.00 ",54.0%,3693,1700,199300.00%,41.0%
860Z200US10560,ZCTA5 10560,"4,914"," $ 180,455.00 ",75.8%,"1,642",126,139,232,748," $ 656,600.00 ",14.9%,1642,1397,24500.00%,58.3%
860Z200US10562,ZCTA5 10562,"33,700"," $ 113,069.00 ",56.9%,"12,230","1,439","1,413","1,059","3,050"," $ 486,700.00 ",38.8%,12230,7490,474000.00%,41.0%
860Z200US10566,ZCTA5 10566,"25,484"," $ 91,042.00 ",44.0%,"10,806","1,272",789,994,"1,704"," $ 376,800.00 ",41.6%,10806,6308,449800.00%,36.0%
860Z200US10567,ZCTA5 10567,"20,260"," $ 152,334.00 ",69.0%,"6,587",557,619,"1,070","2,301"," $ 532,600.00 ",7.2%,6587,6114,47300.00%,45.8%
860Z200US10570,ZCTA5 10570,"13,391"," $ 188,262.00 ",72.0%,"4,285",241,323,549,"1,971"," $ 862,400.00 ",14.3%,4285,3674,61100.00%,65.8%
860Z200US10573,ZCTA5 10573,"40,982"," $ 110,612.00 ",56.6%,"13,951","1,825","1,005","1,187","3,880"," $ 649,900.00 ",43.3%,13951,7910,604100.00%,38.6%
860Z200US10576,ZCTA5 10576,"4,904"," $ 227,344.00 ",83.1%,"1,814",131,85,230,"1,062"," $ 1,014,900.00 ",6.5%,1814,1696,11800.00%,68.1%
860Z200US10577,ZCTA5 10577,"5,901",,90.8%,729,18,27,60,557," $ 1,461,400.00 ",2.3%,729,712,1700.00%,67.5%
860Z200US10578,ZCTA5 10578,"1,851",,89.8%,568,11,6,121,372," $ 607,700.00 ",0.0%,568,568,0.00%,71.9%
860Z200US10579,ZCTA5 10579,"8,825"," $ 135,893.00 ",65.8%,"3,011",304,330,384,964," $ 515,000.00 ",9.7%,3011,2720,29100.00%,45.2%
860Z200US10580,ZCTA5 10580,"18,073"," $ 242,015.00 ",79.1%,"6,178",403,423,479,"3,582"," $ 1,834,100.00 ",28.0%,6178,4447,173100.00%,67.6%
860Z200US10583,ZCTA5 10583,"40,612",,76.3%,"14,050",780,529,"1,240","8,173"," $ 1,131,700.00 ",14.9%,14050,11956,209400.00%,64.1%
860Z200US10588,ZCTA5 10588,"3,081"," $ 171,598.00 ",75.5%,"1,108",154,37,139,506," $ 522,400.00 ",34.7%,1108,723,38500.00%,48.7%
860Z200US10589,ZCTA5 10589,"7,266"," $ 123,293.00 ",58.9%,"3,536",414,216,537,916," $ 521,200.00 ",9.2%,3536,3212,32400.00%,60.8%
860Z200US10590,ZCTA5 10590,"7,314"," $ 198,563.00 ",72.9%,"2,628",140,178,307,"1,291"," $ 727,600.00 ",5.6%,2628,2482,14600.00%,59.8%
860Z200US10591,ZCTA5 10591,"23,663"," $ 103,480.00 ",55.4%,"10,094","1,274",785,962,"2,567"," $ 661,800.00 ",49.1%,10094,5133,496100.00%,47.3%
860Z200US10594,ZCTA5 10594,"5,512"," $ 166,417.00 ",63.6%,"1,792",54,131,172,783," $ 683,600.00 ",10.8%,1792,1599,19300.00%,45.2%
860Z200US10595,ZCTA5 10595,"7,180"," $ 108,750.00 ",52.2%,"2,360",124,180,228,701," $ 725,200.00 ",26.9%,2360,1725,63500.00%,41.7%
860Z200US10596,ZCTA5 10596,657," $ 81,893.00 ",34.7%,389,39,17,13,66," $ 448,900.00 ",38.6%,389,239,15000.00%,39.9%
860Z200US10597,ZCTA5 10597,652," $ 211,591.00 ",68.6%,194,0,15,7,111," $ 1,108,300.00 ",0.0%,194,194,0.00%,64.7%
