Geography,Geographic Area Name,Population, MedianIncome ,Pct100kPlus,TotalSalaryPopulation,100k+,125Kk+,150k+,200k+, MedianHomeValue ,PctRenter,TotalRentersPopulation,OwnerOccupied,RenterOccupied,PctBAPlus
860Z200US45106,ZCTA5 45106,"11,096"," $ 68,458.00 ",35.4%,"4,452",669,463,302,144," $ 203,300.00 ",24.5%,4452,3361,109100.00%,13.8%
860Z200US45107,ZCTA5 45107,"9,748"," $ 65,625.00 ",32.5%,"3,472",496,262,194,175," $ 196,300.00 ",31.5%,3472,2380,109200.00%,12.1%
860Z200US45111,ZCTA5 45111,238," $ 84,375.00 ",25.9%,112,15,6,5,3," $ 201,500.00 ",12.5%,112,98,1400.00%,37.3%
860Z200US45112,ZCTA5 45112,14," $ 62,500.00 ",12.5%,8,1,0,0,0,,12.5%,8,7,100.00%,28.6%
860Z200US45113,ZCTA5 45113,"3,808"," $ 99,601.00 ",49.5%,"1,507",281,135,235,95," $ 282,000.00 ",10.5%,1507,1349,15800.00%,19.4%
860Z200US45115,ZCTA5 45115,130,,0.0%,56,0,0,0,0,,37.5%,56,35,2100.00%,51.5%
860Z200US45118,ZCTA5 45118,"3,789"," $ 92,469.00 ",45.1%,"1,371",231,165,116,107," $ 225,700.00 ",15.6%,1371,1157,21400.00%,16.1%
860Z200US45119,ZCTA5 45119,217," $ 123,315.00 ",88.2%,93,82,0,0,0,,11.8%,93,82,1100.00%,0.0%
860Z200US45120,ZCTA5 45120,"2,412"," $ 54,509.00 ",22.7%,"1,056",60,49,74,57," $ 186,600.00 ",30.8%,1056,731,32500.00%,10.9%
860Z200US45121,ZCTA5 45121,"8,931"," $ 57,274.00 ",25.5%,"3,819",357,148,140,329," $ 150,800.00 ",26.3%,3819,2815,100400.00%,18.3%
860Z200US45122,ZCTA5 45122,"11,195"," $ 85,750.00 ",42.0%,"4,221",645,453,352,321," $ 210,200.00 ",14.7%,4221,3600,62100.00%,14.0%
860Z200US45123,ZCTA5 45123,"8,739"," $ 60,614.00 ",29.8%,"3,346",365,213,262,158," $ 139,100.00 ",33.6%,3346,2222,112400.00%,12.1%
860Z200US45130,ZCTA5 45130,"3,806"," $ 92,865.00 ",48.2%,"1,303",183,315,54,76," $ 229,300.00 ",16.4%,1303,1089,21400.00%,11.3%
860Z200US45131,ZCTA5 45131,374," $ 50,694.00 ",7.3%,110,2,1,5,0," $ 96,400.00 ",49.1%,110,56,5400.00%,4.7%
860Z200US45132,ZCTA5 45132,130," $ 31,875.00 ",4.4%,68,1,2,0,0," $ 99,000.00 ",29.4%,68,48,2000.00%,9.5%
860Z200US45133,ZCTA5 45133,"23,604"," $ 58,813.00 ",22.6%,"9,227",839,587,357,300," $ 162,900.00 ",27.5%,9227,6688,253900.00%,15.2%
860Z200US45135,ZCTA5 45135,"5,422"," $ 77,373.00 ",33.4%,"1,961",319,159,122,55," $ 181,100.00 ",25.1%,1961,1468,49300.00%,21.7%
860Z200US45140,ZCTA5 45140,"56,854"," $ 110,781.00 ",56.5%,"21,759","2,684","1,917","3,119","4,569"," $ 340,800.00 ",18.8%,21759,17667,409200.00%,50.3%
860Z200US45142,ZCTA5 45142,"4,095"," $ 64,216.00 ",28.5%,"1,538",188,82,116,52," $ 176,000.00 ",18.9%,1538,1247,29100.00%,12.8%
860Z200US45144,ZCTA5 45144,"4,256"," $ 43,896.00 ",19.3%,"1,724",175,92,48,18," $ 121,300.00 ",29.1%,1724,1223,50100.00%,11.0%
860Z200US45146,ZCTA5 45146,"1,129"," $ 67,800.00 ",33.2%,452,30,17,72,31," $ 172,300.00 ",18.8%,452,367,8500.00%,16.2%
860Z200US45147,ZCTA5 45147,64,,66.7%,30,8,0,0,12,,33.3%,30,20,1000.00%,71.9%
860Z200US45148,ZCTA5 45148,"1,675"," $ 69,448.00 ",23.2%,659,7,34,101,11," $ 160,300.00 ",15.3%,659,558,10100.00%,15.3%
860Z200US45150,ZCTA5 45150,"33,342"," $ 91,780.00 ",45.1%,"14,140","1,501","1,253","1,454","2,169"," $ 267,900.00 ",25.4%,14140,10555,358500.00%,38.1%
860Z200US45152,ZCTA5 45152,"13,577"," $ 120,340.00 ",58.9%,"4,509",750,597,505,805," $ 327,700.00 ",11.8%,4509,3979,53000.00%,32.7%
