ID,AutoIds,Type,Name,Address,google-name,GScore,GRevCount,JScore,Tier,Must-Visit,Day,Note,Lat,Lon,LiveCensusLat,LiveCensusLon,store-pk,google-url
MTS,MTS1,Thrift,Mel & Tee's Secondhand & Estate Sales,"4915 Hillsdale Ave, Erie, PA 16509",Mel & Tee's Secondhand & Estate Sales,4.6,100,3.8,Mid,,,Has potential,42.082588445399,-80.089215148754,-Have Lat-,-Have Lon-,21,https://maps.app.goo.gl/qaCJb4B13Hu2xXGN8
RCTS,RCTS1,Thrift,Rainbow Connection Thrift Store,"1516 Buffalo Rd, Erie, PA 16510",Rainbow Connection Thrift Store,4.1,66,3.4,Mid,,,Probably fair; hard to say; Methodist Church Store,42.129238096652,-80.042458531383,-Have Lat-,-Have Lon-,22,https://maps.app.goo.gl/P3Tp6crrLEt15fn37
V,V1,Antique,Vintillage,"1019 N Main St, Bowling Green, OH 43402",Vintillage,4.8,59,4.1,Top,,,Stacked stuff; good looking,41.386969488836,-83.650559979749,-Have Lat-,-Have Lon-,23,https://maps.app.goo.gl/wkgexv5rPwEsojH47
AIC,AIC1,Antique,Antiques In Clyde,"109 W Buckeye St, Clyde, OH 43410",Antiques In Clyde,4.8,8,3.6,Mid,,,"Small store, could be good.",41.305325806012,-82.974998847854,-Have Lat-,-Have Lon-,24,https://maps.app.goo.gl/sHQ6VM2pTJowAT9QA
AVM,AVM1,Vintage,Armory vintage Market,"1005 E State St, Fremont, OH 43420",Armory vintage Market,4.9,36,4.1,Top,must-visit,,"Looks good, space is interesting",41.343487452168,-83.099059334270,-Have Lat-,-Have Lon-,25,https://maps.app.goo.gl/ePTPqdJ1huGgihVc9
BUKB,BUKB1,Thrift,Bearly Used Kids Boutique,"236 N Front St, Fremont, OH 43420",Bearly Used Kids Boutique,4.1,24,1.0,Low,,,,41.347478384673,-83.113456418240,-Have Lat-,-Have Lon-,26,https://maps.app.goo.gl/jktEWpiG8VgWVj4v6
MTA,MTA1,Antique,M & T Antiques,"427 W State St, Fremont, OH 43420",M & T Antiques,3.4,13,3.9,Mid,,,"Old school corner location, little information. Gamble!",41.347672411392,-83.114672111185,-Have Lat-,-Have Lon-,27,https://maps.app.goo.gl/3c3tcWeA112LYFvf9
NTYC,NTYC1,Junk,New-To-You Consignments,"2306 W State St, Fremont, OH 43420",New-To-You Consignments,4.6,8,3.7,Mid,,,"Information is sparse, but seeme liek ithas potential",41.360050512706,-83.144098174735,-Have Lat-,-Have Lon-,28,https://maps.app.goo.gl/m999nexzNeMCtVVC7
PAPE,PAPE1,Thrift,Past and present emporium,"611 W State St, Fremont, OH 43420",Past and present emporium,4.6,46,3.9,Top,,,Looks promising,41.348653880344,-83.116979645576,-Have Lat-,-Have Lon-,29,https://maps.app.goo.gl/3t1pWTEmuouKVT7Q8
CWUTS,CWUTS1,Thrift,Church Women United Thrift Shop,"631 S Crissey Rd, Holland, OH 43528",Church Women United Thrift Shop,4.5,77,3.3,Mid,,,,41.635441761032,-83.761580791087,-Have Lat-,-Have Lon-,30,https://maps.app.goo.gl/2nkFy33CxAEAda9Z7
