Zip,Name,MedianIncome,PctHH_100kPlus,PctRenters,Population,AcsYear,Dataset,FetchedAtUtc,Status,ErrorMessage,RentersCount,OccupiedCount,HHCount_100kPlus,HHCountTotal
15465,ZCTA5 15465,48462,17.857,0.000,569,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,0,252,45,252
15466,ZCTA5 15466,48500,22.105,10.000,437,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,19,190,42,190
15467,ZCTA5 15467,80833,56.522,8.696,86,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,4,46,26,46
15468,ZCTA5 15468,65625,42.572,26.919,2230,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,270,1003,427,1003
15469,ZCTA5 15469,44334,31.516,19.128,2447,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,193,1009,318,1009
15470,ZCTA5 15470,78125,55.031,7.862,713,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,25,318,175,318
15472,ZCTA5 15472,53148,6.522,100.000,106,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,46,46,3,46
15473,ZCTA5 15473,66786,45.013,15.486,3328,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,236,1524,686,1524
15474,ZCTA5 15474,50769,40.299,26.990,2399,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,217,804,324,804
15475,ZCTA5 15475,41326,13.555,53.197,800,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,208,391,53,391
15476,ZCTA5 15476,,56.522,43.478,45,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,10,23,13,23
15477,ZCTA5 15477,70000,45.739,12.216,794,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,43,352,161,352
15478,ZCTA5 15478,71311,48.576,18.696,5679,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,453,2423,1177,2423
15479,ZCTA5 15479,68309,45.949,28.302,2275,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,255,901,414,901
15480,ZCTA5 15480,43491,27.526,23.719,1458,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,162,683,188,683
15482,ZCTA5 15482,40750,28.689,41.803,425,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,102,244,70,244
15483,ZCTA5 15483,48929,33.529,28.824,301,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,49,170,57,170
15484,ZCTA5 15484,96393,88.000,3.600,870,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,9,250,220,250
15486,ZCTA5 15486,66734,44.398,13.822,2127,2023,acs/acs5,2025-12-29T00:01:22.542144Z,ok,,132,955,424,955
15488,ZCTA5 15488,,11.364,0.000,89,2023,acs/acs5,2025-12-29T00:01:22.542144Z,missing,Median income suppressed: fell into the lowest or highest interval (suppressed).,0,44,5,44
