zip,name,median_income,pct_hh_100k_plus,pct_renters,population,acs_year,dataset,fetched_at_utc,status,error_message,renters_count,occupied_count,hh_count_100k_plus,hh_count_total
11413,ZCTA5 11413,114766,72.345,27.312,45072,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3745,13712,9920,13712
11414,ZCTA5 11414,98209,58.162,23.405,31090,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2697,11523,6702,11523
11415,ZCTA5 11415,88632,58.381,57.489,21379,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,5155,8967,5235,8967
11416,ZCTA5 11416,85544,55.966,49.607,26660,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3721,7501,4198,7501
11417,ZCTA5 11417,86330,55.245,41.607,30091,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3899,9371,5177,9371
11418,ZCTA5 11418,84927,56.177,51.172,36304,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,5940,11608,6521,11608
11419,ZCTA5 11419,91231,59.869,38.072,46938,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,4957,13020,7795,13020
11420,ZCTA5 11420,98584,64.279,28.258,50060,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3949,13975,8983,13975
11421,ZCTA5 11421,89439,61.388,47.439,41937,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,5686,11986,7358,11986
11422,ZCTA5 11422,108519,66.715,31.709,33085,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,3279,10341,6899,10341
11423,ZCTA5 11423,80870,52.148,42.559,29105,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,4181,9824,5123,9824
11424,ZCTA5 11424,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
11426,ZCTA5 11426,107591,70.560,29.785,19638,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,1900,6379,4501,6379
11427,ZCTA5 11427,92129,59.500,34.971,25124,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2840,8121,4832,8121
11428,ZCTA5 11428,84977,57.224,26.685,18898,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,1607,6022,3446,6022
11429,ZCTA5 11429,98232,62.465,28.820,27933,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2371,8227,5139,8227
11430,ZCTA5 11430,,,,448,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
11432,ZCTA5 11432,75395,50.235,63.002,63730,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,12855,20404,10250,20404
11433,ZCTA5 11433,71177,48.865,53.242,37777,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,5838,10965,5358,10965
11434,ZCTA5 11434,76668,51.396,51.225,67611,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,11647,22737,11686,22737
11435,ZCTA5 11435,79430,52.931,64.472,58424,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,12848,19928,10548,19928
11436,ZCTA5 11436,86104,56.480,34.600,21364,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2176,6289,3552,6289
11439,ZCTA5 11439,,,,2171,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
11451,ZCTA5 11451,,,,0,2023,acs/acs5,2025-12-29T02:34:45.997185Z,missing,Occupied count is 0.; Household total is 0.; Median income suppressed: fell into the lowest or highest interval (suppressed).,0,0,0,0
11501,ZCTA5 11501,138323,76.832,33.944,21590,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,2983,8788,6752,8788
11507,ZCTA5 11507,162991,80.401,11.672,6581,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,268,2296,1846,2296
11509,ZCTA5 11509,162500,80.645,8.737,1747,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,65,744,600,744
11510,ZCTA5 11510,141120,79.174,12.024,34814,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,1336,11111,8797,11111
11514,ZCTA5 11514,136125,76.029,24.091,4421,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,404,1677,1275,1677
11516,ZCTA5 11516,102083,62.655,30.277,8733,2023,acs/acs5,2025-12-29T02:34:45.997185Z,ok,,951,3141,1968,3141
