store_id,store_name,store_type,G_Rating,G_RevCount,G_LowK,G_LowK_RevCount,G_HighK,G_HighK_RevCount,J_Prior,J_Post,Atlas_Value,Atlas_Yield
SOGS,"Sanborn Old General Store",Antique,4.6,105,4.555,105,4.538,105,2.5,"",,
NEAM,"Niagara Emporium Antique Mall",Antique,4.2,32,4.359,32,4.388,32,2.8,"",,
SCBAC,"Shawnee Country Barns Antique Co-Op",Antique,4.6,324,4.581,324,4.571,324,3.4,"",,
ATBR,"Attic To Basement Repeats",Junk,4.6,93,4.551,93,4.534,93,3.8,"",,
CGAE,"CM Gold Antique & Estate Buyer",Junk,4.8,79,4.668,79,4.625,79,3.6,"",,
HA,"Hello Again",Junk,5.0,7,4.527,7,4.502,7,3.1,"",,
AB,"AMVETS Buffalo",Thrift,4.2,448,4.226,448,4.241,448,4.6,3.5,,
OHVC,"October House Vintage & Consignment",Vintage,4.8,17,4.546,17,4.518,17,3.6,"",,
FTVA,"Funky Town Vintage Antiques",Antique,4.6,68,4.541,68,4.523,68,3.8,"",,
COO,COOCOOU,Antique,4.6,73,4.543,73,4.525,73,3.7,"",,
QCV,"Queen City Vintage",Sports,4.6,54,4.533,54,4.515,54,4.6,"",,
STR,"Save The Rags",Vintage,4.7,29,4.548,29,4.522,29,3.9,"",,
SDDS,"St.Vincent DePaul Discount Store",Thrift,4.3,15,4.423,15,4.436,15,3.4,"",,
BR,"Buffalo ReUse",ArchSalvage,4.4,97,4.42,97,4.428,97,3.3,"",,
TSSOB,"The Serendipity Shoppe of Buffalo",Thrift,4.5,18,4.471,18,4.467,18,3.0,"",,
MCVB,"My Cuzin Vintage Buffalo",Vintage,4.2,222,4.248,222,4.271,222,2.5,"",,
BRV,Backroomvintage,Vintage,4.4,55,4.429,55,4.436,55,3.7,"",,
SA,"Sloan's Antiques",Antique,4.4,78,4.424,78,4.431,78,3.8,"",,
SBSA,"Side By Side Antiques",Antique,4.2,15,4.4,15,4.421,15,1.3,"",,
SLADD,"Southtowns LADD Thrift Shop",Thrift,4.5,24,4.473,24,4.469,24,3.4,"",,
ATSWS,"AMVETS Thrift Store West Seneca",Thrift,4.4,313,4.408,313,4.413,313,4.1,"",,
AKRTS,"A King's Ransom - Thrift Shop and Furniture Consignment",Thrift,4.2,28,4.367,28,4.395,28,3.0,"",,
HTSHFT,"Hearts Thrift Store - Hearts for the Homeless Thrift Store (Tonawanda)",Thrift,4.3,25,4.407,25,4.423,25,4.0,"",,
HTSHFB,"Hearts Thrift Store - Hearts for the Homeless Thrift Store (Buffalo)",Thrift,4.5,96,4.486,96,4.482,96,4.3,"",,
SAVERST,Savers,Thrift,4.1,723,4.123,723,4.137,723,5.0,4.2,,
HFHRN,"Habitat for Humanity ReStore North",Thrift,4.5,103,4.487,103,4.482,103,3.5,"",,
SCB,"Second Chic",Consignment,4.5,106,4.487,106,4.482,106,2.0,"",,
SAVERSB,Savers,Thrift,3.8,410,3.872,410,3.912,410,4.8,5.0,,
MSTS,"Main Street thrift store",Thrift,5.0,12,4.565,12,4.528,12,3.0,"",,
HFHRS,"Habitat for Humanity ReStore - South",Thrift,4.3,107,4.351,107,4.37,107,3.5,"",,
SAVERSR,Savers,Thrift,4.0,488,4.043,488,4.067,488,5.0,"",,
TSAFSRO,"The Salvation Army Family Store & Donation Center",Thrift,3.7,335,3.799,335,3.852,335,3.5,"",,
CR,"Council Resale",Thrift,4.1,111,4.212,111,4.255,111,3.4,"",,
GCOHT,"Grace Centers of Hope Thrift Store & Donation Center- Oak Park",Thrift,4.0,21,4.324,21,4.368,21,3.5,"",,
LC,"Leah's Closet",Vintage,4.8,33,4.595,33,4.556,33,3.0,"",,
SVDPT,"St. Vincent de Paul Thrift Store",Thrift,3.9,309,3.978,309,4.019,309,3.2,"",,
EUR,"Encore Upscale Resale",Thrift,4.3,241,4.328,241,4.341,241,3.4,"",,
RR,"Retro Rescuers",Thrift,5.0,16,4.591,16,4.547,16,3.1,"",,
PTS,"Presbyterian Thrift Shop",Thrift,4.7,103,4.622,103,4.593,103,3.6,"",,
N2Y,"New 2 You",Furniture,4.4,81,4.423,81,4.431,81,3.0,"",,
SOMM,"Seeds Of Mercy Mission",Thrift,5.0,8,4.535,8,4.507,8,2.8,"",,
TSAFSAH,"The Salvation Army Family Store & Donation Center",Thrift,4.1,311,4.15,311,4.176,311,3.5,"",,
FTRS,"Freedom Treasures Resale Store",Thrift,4.7,161,4.643,161,4.618,161,3.5,"",,
ODTS,"Open Door Thrift Store",Thrift,4.6,64,4.539,64,4.521,64,3.2,"",,
TSAFSWB,"The Salvation Army Family Store & Donation Center",Thrift,4.0,446,4.046,446,4.073,446,3.6,"",,
AU,"Antiques & Uniques",Antique,5.0,"3,536",4.992,"3,536",4.988,"3,536",4.8,3.5,,
