Title,Note,URL,Tags,Comment
Bearly Used Kids Boutique,,https://www.google.com/maps/place/Bearly+Used+Kids+Boutique/data=!4m2!3m1!1s0x883bc65051b144f5:0x5404f30d4ddc9741,,
Spooky's Studio,,https://www.google.com/maps/place/Spooky's+Studio/data=!4m2!3m1!1s0x8830f117f071459d:0xbf8b3c86e1349600,,
The Bargain House,,https://www.google.com/maps/place/The+Bargain+House/data=!4m2!3m1!1s0x8830990768a361c3:0xe0b650533c2cb8fd,,
Be Back Antiques and Collectibles,,https://www.google.com/maps/place/Be+Back+Antiques+and+Collectibles/data=!4m2!3m1!1s0x88309d9d693fd417:0xd3394a82c860dcf0,,
Simply Affordable Finds,,https://www.google.com/maps/place/Simply+Affordable+Finds/data=!4m2!3m1!1s0x883093bd8d02ac8b:0xf121b66d23af251d,,
The Shoppes At Olde Avon Village,,https://www.google.com/maps/place/The+Shoppes+At+Olde+Avon+Village/data=!4m2!3m1!1s0x8830907a4358a03f:0x3b02d90ae65422d8,,
Everything Home Upscale Resale,,https://www.google.com/maps/place/Everything+Home+Upscale+Resale/data=!4m2!3m1!1s0x8824c61b7bb989d1:0x5e59080563c492ce,,
Detroit Closet,,https://www.google.com/maps/place/Detroit+Closet/data=!4m2!3m1!1s0x8824cc75b6a7f6ad:0x40fd504a8cfce335,,
Joy Thrift,,https://www.google.com/maps/place/Joy+Thrift/data=!4m2!3m1!1s0x8824d3e747d8dbad:0x5ae834f839a16fa3,,
Fred's Unique Furniture & Antiques,,https://www.google.com/maps/place/Fred's+Unique+Furniture+%26+Antiques/data=!4m2!3m1!1s0x8824d6d93e5ca7c9:0x4f653c2a03ac5c5a,,
"Retro Image Antiques, Vintage and Props",,"https://www.google.com/maps/place/Retro+Image+Antiques,+Vintage+and+Props/data=!4m2!3m1!1s0x883b349227ede82d:0xdbd10b4404f9e618",,
V-Male Detroit Vintage,,https://www.google.com/maps/place/V-Male+Detroit+Vintage/data=!4m2!3m1!1s0x883b49f39a3522db:0x89add76b71399284,,
Value World Thrift,,https://www.google.com/maps/place/Value+World+Thrift/data=!4m2!3m1!1s0x8824b687d01837f1:0x533640569dc752a9,,
Salvage Garden,,https://www.google.com/maps/place/Salvage+Garden/data=!4m2!3m1!1s0x8824cdf440d09729:0x92dec8a387b6368d,,
Vogue Vintage,,https://www.google.com/maps/place/Vogue+Vintage/data=!4m2!3m1!1s0x8824cf0043455555:0x30656bb23588319c,,
Value World Thrift,,https://www.google.com/maps/place/Value+World+Thrift/data=!4m2!3m1!1s0x8824d7ed7898572d:0x9d77910ba01e094a,,
Red White & Blue Thrift Store,,https://www.google.com/maps/place/Red+White+%26+Blue+Thrift+Store/data=!4m2!3m1!1s0x882520b73ceb8609:0xa871be10f3701b3a,,
Architectural Salvage Warehouse of Detroit,,https://www.google.com/maps/place/Architectural+Salvage+Warehouse+of+Detroit/data=!4m2!3m1!1s0x8824cd5196233ba9:0xfa9a71606cfc143f,,
Flamingo Vintage,,https://www.google.com/maps/place/Flamingo+Vintage/data=!4m2!3m1!1s0x883b330c3efd7fbf:0xf1b0dc0378155c3b,,
Value World Thrift,,https://www.google.com/maps/place/Value+World+Thrift/data=!4m2!3m1!1s0x883b49dd8360558d:0x442b5facdec30584,,
"Vintage Eastern Market, LLC",,"https://www.google.com/maps/place/Vintage+Eastern+Market,+LLC/data=!4m2!3m1!1s0x8824d2d6fae3242b:0xbb6642bf8cf34ce",,
Goodwill of Greater Detroit,,https://www.google.com/maps/place/Goodwill+of+Greater+Detroit/data=!4m2!3m1!1s0x883b2d4d61d8446f:0x84206994192d329,,
Goodwill Store and Donations: Livonia,,https://www.google.com/maps/place/Goodwill+Store+and+Donations:+Livonia/data=!4m2!3m1!1s0x8824b49f8002cbb1:0x7723adeffc10abd5,,
